description,port,status,tcp,udp
FlightGear multiplayer[62],5000,Unofficial,False,True
Synology Inc. Management Console, File Station, Audio Station,5000,Unofficial,True,False
ovwdb—OpenView Network Node Manager (NNM) daemon,2447,Official,True,True
first-defense, Remote systems monitoring service from Nexum, Inc,1232,Official,True,True
RTP (Real-time Transport Protocol) media data (RFC 3551, RFC 4571),5004,Official,True,True
RTP (Real-time Transport Protocol) media data (RFC 3551, RFC 4571),5004,Official,True,False
Hypertext Transfer Protocol over TLS/SSL (HTTPS),443,Official,True,False
Men and Mice DNS,1337,Official,False,True
Men and Mice DNS,1337,Official,True,False
WASTE Encrypted File Sharing Program,1337,Unofficial,True,False
id Software's Quake II master server,27901-27910,Unofficial,False,True
Nintendo Wi-Fi Connection,27900-27901,Unofficial,False,False
Astergate-FAX Control Daemon,9107,Official,True,False
RAD PDF Service,18104,Official,True,False
SNA Gateway Access Server [1],108,Official,True,True
Post Office Protocol v2 (POP2),109,Official,True,False
HTTP listener for Apache Synapse [97],8280,Official,True,True
ISO-TSAP (Transport Service Access Point) Class 0 protocol;[12] also used by Digital Equipment Corporation DECnet (Phase V+) over TCP/IP,102,Official,True,False
CyberGate RAT protocol,100,Unofficial,False,True
NIC host name,101,Official,True,False
Polipo Web proxy,8123,Official,True,False
Bukkit DynMap Default Webserver Bind Address,8123,Unofficial,True,False
Remote TELNET Service[13] protocol,107,Official,True,False
ACR/NEMA Digital Imaging and Communications in Medicine (DICOM),104,Official,True,True
CCSO Nameserver Protocol (Qi/Ph),105,Official,True,True
ideafarm-door,902,Official,True,False
VMware Server Console (TCP from management console to server being Managed),902,Unofficial,True,False
ideafarm-door,902,Official,False,True
VMware Server Console (UDP from server being managed to management console),902,Unofficial,False,True
Killing Floor,7707,Unofficial,False,True
metasys ( Johnson Controls Metasys java AC control environment )[citation needed],11001,Unofficial,True,True
Samba Web Administration Tool (SWAT),901,Unofficial,True,False
VMware Virtual Infrastructure Client (UDP from server being managed to management console),901,Unofficial,True,False
VMware Virtual Infrastructure Client (UDP from server being managed to management console),901,Unofficial,False,True
Miralix License server[citation needed],3000,Unofficial,True,False
Cloud9 Integrated Development Environment server,3000,Unofficial,True,False
Distributed Interactive Simulation (DIS), modifiable default,3000,Unofficial,False,True
Ruby on Rails development default[50],3000,Unofficial,True,False
Linux-HA High availability Heartbeat,694,Official,True,True
P2P DC (RedHub)[citation needed],7700,Unofficial,False,True
Mail.Ru Agent communication protocol[citation needed],2041,Unofficial,True,False
Display Support Protocol,33,Official,True,True
Netop Business Solutions - NetOp Remote Control,6502,Unofficial,True,True
IEEE-MMS-SSL (IEEE Media Management System over SSL)[28],695,Official,True,False
ÆtherNet peer-to-peer networking[citation needed],13337-13340,Unofficial,True,True
RunUO—Ultima Online server,2593,Unofficial,True,True
Any private printer server protocol,35,Official,True,True
Network File System,2049,Official,True,True
shilp,2049,Official,False,True
Nessus Security Scanner,1241,Official,True,True
MooseFS distributed file system—master server to chunk servers,9420,Unofficial,True,False
Eclipse Target Communication Framework (TCF) agent discovery[47],1534,Unofficial,False,True
IBM Sametime IM—Virtual Places Chat Microsoft SQL Server,1533,Official,True,False
Garena Garena Gaming Client,1513,Official,True,True
DHCP Failover protocol[24],647,Official,True,False
LDP, Label Distribution Protocol, a routing protocol used in MPLS networks,646,Official,True,True
Verisys file integrity monitoring software,3313,Unofficial,True,False
RRP (Registry Registrar Protocol)[25],648,Official,True,False
Cylon Controls UC32 Communications Port,4950,Official,True,True
Microsoft Windows Internet Name Service (WINS),1512,Official,True,True
APC Agent,2161,Official,True,False
APC Agent,2160,Official,True,False
Omron FINS, OMRON FINS PLC communication,9600,Official,False,True
QPasa from MQSoftware,2612,Official,True,True
TrackiT mobile device monitoring,2610,Unofficial,True,False
Orthanc - Default HTTP Port for GUI,8042,Unofficial,True,False
FileMaker,5003,Official,True,True
Used by HGG programs[citation needed],3800,Unofficial,True,False
Default for older versions of eMule[60],4672,Unofficial,False,True
WatchGuard authentication applet default,4100,Unofficial,False,False
OLSR (Optimized Link State Routing),698,Official,False,True
Shofar (ShofarNexus),4105,Official,True,True
SAP-Router (routing application proxy for SAP R/3),3299,Unofficial,True,False
TorgaNET (Micronational Intelligence Darknet),5125,Unofficial,True,True
Zimbra smtp [mta]—to amavis from postfix[citation needed],10024,Unofficial,True,False
Zimbra smtp [mta]—back to postfix from amavis[citation needed],10025,Unofficial,True,False
Used by VATSIM, the Virtual Air Traffic Simulation network for voice communication.,3290,Unofficial,False,True
WinRM - Windows Remote Management Service [123],47001,Official,True,False
Microsoft SSDP Enables discovery of UPnP devices,1900,Official,False,True
Sybase database listener[citation needed],2638,Unofficial,True,False
Sophos Remote Management System,8192,Unofficial,True,False
Sophos Remote Management System,8193,Unofficial,True,False
PgBouncer - A connection pooler for PostgreSQL,6432,Official,True,False
Sophos Remote Management System,8194,Unofficial,True,False
Bloomberg Application[citation needed],8194,Unofficial,True,False
[RSVP] Reservation Protocol,3455,Official,True,True
Bacula File Daemon,9102,Official,True,True
ARPA Host Name Server Protocol,42,Official,True,True
Windows Internet Name Service,42,Unofficial,True,True
laes-bf, IP Fabrics Surveillance buffering function,9536,Official,True,True
Smartcard Port,3516,Official,True,True
Steam Client,27000-27030,Unofficial,False,True
(through 27006) id Software's QuakeWorld master server,27000,Unofficial,False,True
FlexNet Publisher's License server (from the range of default ports),27000-27009,Unofficial,True,False
Sphinx SphinxQL,9312,Official,True,False
Windows Live FolderShare client,6571,Unofficial,False,False
Remote Administrator,3899,Unofficial,True,False
Teamware Office client notifier,25003,Official,True,False
OpenCORE Remote Control Service,4089,Official,True,True
I2P anonymizing overlay network,7656-7660,Unofficial,True,False
Skype Default Protocol,23399,Unofficial,False,False
Audition Online Dance Battle, AsiaSoft Thailand Server—FAM Database,18206,Unofficial,True,True
Digital Airways' OHM server's commands to mobile devices (used mainly for binary SMS),4732,Official,False,True
Microsoft Terminal Server (RDP) officially registered as Windows Based Terminal (WBT) - Link,3389,Official,True,True
